Mr. Saxobeat,Alexandra Stan,2011,Solo,Just Dance 4
Oh No!,Marina and the Diamonds,2010,Solo,Just Dance 4
Oops!...I Did It Again,Britney Spears (The Girly Team),2000,Dance Crew,Just Dance 4
Part Of Me,Katy Perry,2012,Solo,Just Dance 4
Primadonna,Marina and the Diamonds,2012,Solo,Just Dance 4
So Glamorous,Harlin James & Clav (The Girly Team),2012,Solo,Just Dance 4
Super Bass,Nicki Minaj,2011,Solo,Just Dance 4
Superstition,Stevie Wonder,1972,Solo,Just Dance 4
The Final Countdown,Europe,1986,Duet,Just Dance 4
Time Warp,Halloween Thrills,1975,Dance Crew,Just Dance 4
Tribal Dance,2 Unlimited,1993,Duet,Just Dance 4
Want U Back,Cher Lloyd ft. Astro,2012,Solo,Just Dance 4
We No Speak Americano,Yolanda Be Cool and DCUP (Hit the Electro Beat),2010,Solo,Just Dance 4
We R Who We R,Ke$ha,2010,Solo,Just Dance 4
You Make Me Feel...,Cobra Starship feat. Sabi,2011,Solo,Just Dance 4
"You’re the First, the Last, My Everything",Barry White,1974,Dance Crew,Just Dance 4
#thatPOWER,will.i.am ft. Justin Bieber,2013,Dance Crew,Just Dance 2014
99 Luftballons,Nena (Rutschen Planeten),1983,Duet,Just Dance 2014
American Girl,Bonnie McKee,2013,Solo,Just Dance 2014
Applause,Lady Gaga,2013,Solo,Just Dance 2014
Aquarius/Let the Sunshine In,The 5th Dimension (The Sunlight Shakers),1969,Duet,Just Dance 2014
Blurred Lines,Robin Thicke feat. Pharrell Williams,2013,Duet,Just Dance 2014
Can’t Get Enough,Becky G ft. Pitbull,2013,Solo,Just Dance 2014
C’Mon,Ke$ha,2012,Duet,Just Dance 2014
Danse (Pop Version),Tal,2013,Solo,Just Dance 2014
Don’t You Worry Child,Swedish House Mafia ft. John Martin,2013,Solo,Just Dance 2014
Gentleman,PSY,2013,Solo,Just Dance 2014
Ghostbusters,"Ray Parker, Jr.",1984,Dance Crew,Just Dance 2014
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,1979,Solo,Just Dance 2014
I Kissed a Girl,Katy Perry,2008,Solo,Just Dance 2014
I Will Survive,Gloria Gaynor,1978,Solo,Just Dance 2014
It’s You,Duck Sauce,2013,Solo,Just Dance 2014
Just A Gigolo,Louis Prima,1956,Duet,Just Dance 2014
Just Dance,Lady Gaga feat. Colby O'Donis,2008,Solo,Just Dance 2014
Love Boat,Jack Jones (Frankie Bostello),1979,Solo,Just Dance 2014
Miss Understood,Sammie,2013,Solo,Just Dance 2014
Moskau,Dschinghis Khan (Dancing Bros.),1979,Duet,Just Dance 2014
My Main Girl,MainStreet,2013,Solo,Just Dance 2014
Nitro Bot,Sentai Express,2013,Duet,Just Dance 2014
Pound The Alarm,Nicki Minaj,2012,Dance Crew,Just Dance 2014
Roar,Katy Perry,2013,Solo,Just Dance 2014
Rock N Roll,Avril Lavigne,2013,Solo,Just Dance 2014
Safe And Sound,Capital Cities,2011,Solo,Just Dance 2014
Sexy And I Know It,LMFAO,2011,Solo,Just Dance 2014
Starships,Nicki Minaj,2012,Solo,Just Dance 2014
The Other Side,Jason Derulo,2013,Solo,Just Dance 2014
The Way,Ariana Grande ft. Mac Miller,2013,Duet,Just Dance 2014
The World is Ours,David Correy ft. Monobloco,2014,Solo,Just Dance 2014
Turn Up the Love,Far East Movement feat. Cover Drive,2012,Duet,Just Dance 2014
Wake Me Up,Avicii feat. Aloe Blacc,2013,Solo,Just Dance 2014
Waking Up in Vegas,Katy Perry,2009,Solo,Just Dance 2014
